NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 4, at cycle: 909349.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 4, at cycle: 909351.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 4, at cycle: 909423.000000
NEW_JOB_RELEASED, task 1, job 6, at cycle: 928941.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 6, at cycle: 929023.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 6, at cycle: 929097.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 6, at cycle: 929109.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 6, at cycle: 929124.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 6, at cycle: 929130.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 6, at cycle: 929197.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 6, at cycle: 929199.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 6, at cycle: 929216.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 6, at cycle: 929218.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 6, at cycle: 929239.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 6, at cycle: 929246.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 6, at cycle: 929269.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 6, at cycle: 929319.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 6, at cycle: 929321.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 6, at cycle: 929377.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 6, at cycle: 929379.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 6, at cycle: 929451.000000
NEW_JOB_RELEASED, task 1, job 7, at cycle: 979099.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 7, at cycle: 979184.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 7, at cycle: 979257.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 7, at cycle: 979269.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 7, at cycle: 979285.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 7, at cycle: 979290.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 7, at cycle: 979357.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 7, at cycle: 979358.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 7, at cycle: 979376.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 7, at cycle: 979378.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 7, at cycle: 979398.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 7, at cycle: 979406.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 7, at cycle: 979428.000000
NEW_JOB_RELEASED, task 2, job 5, at cycle: 979430.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 5, at cycle: 979482.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 7, at cycle: 979485.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 7, at cycle: 979487.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 7, at cycle: 979536.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 7, at cycle: 979538.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 5, at cycle: 979555.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 5, at cycle: 979566.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 5, at cycle: 979581.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 5, at cycle: 979588.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 7, at cycle: 979611.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 5, at cycle: 979638.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 5, at cycle: 979640.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 5, at cycle: 979654.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 5, at cycle: 979656.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 5, at cycle: 979659.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 5, at cycle: 979661.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 5, at cycle: 979733.000000
NEW_JOB_RELEASED, task 1, job 8, at cycle: 1029261.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 8, at cycle: 1029344.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 8, at cycle: 1029417.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 8, at cycle: 1029429.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 8, at cycle: 1029445.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 8, at cycle: 1029450.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 8, at cycle: 1029517.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 8, at cycle: 1029519.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 8, at cycle: 1029536.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 8, at cycle: 1029538.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 8, at cycle: 1029558.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 8, at cycle: 1029564.000000
