NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 7, at cycle: 631435.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 7, at cycle: 631437.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 7, at cycle: 631450.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 7, at cycle: 631452.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 7, at cycle: 631461.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 7, at cycle: 631463.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 7, at cycle: 631535.000000
NEW_JOB_RELEASED, task 1, job 10, at cycle: 641544.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 10, at cycle: 641610.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 10, at cycle: 641704.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 10, at cycle: 641716.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 10, at cycle: 641731.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 10, at cycle: 641735.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 10, at cycle: 641803.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 10, at cycle: 641805.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 10, at cycle: 641823.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 10, at cycle: 641825.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 10, at cycle: 641844.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 10, at cycle: 641851.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 10, at cycle: 641872.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 10, at cycle: 641923.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 10, at cycle: 641925.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 10, at cycle: 641979.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 10, at cycle: 641981.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 10, at cycle: 642053.000000
NEW_JOB_RELEASED, task 1, job 11, at cycle: 691691.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 11, at cycle: 691761.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 11, at cycle: 691833.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 11, at cycle: 691844.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 11, at cycle: 691859.000000
